category,brand,trend,size,price,title,description,image
Accessories,AtributikClub,Color,M,21.00,AtributikClub1,"Your fingers will shine in rings from the designers of the brand shop",img/accessories_1.jpg
Accessories,AtributikClub,Form,XS,24.00,AtributikClub № 2,"The trend of the current year in amazing ring shapes from the brand shop to surprise and inspire",img/accessories_2.jpg
Accessories,AtributikClub,Materials,L,23.00,AtributikClub № 3,"To make rings brand shop masters use only modern technologies and materials from the best suppliers",img/accessories_3.jpg
Accessories,AtributikClub,Materials,L,23.00,AtributikClub № 3,"To make rings brand shop masters use only modern technologies and materials from the best suppliers",img/accessories_4.jpg
Bags,BagIndustries,Color,XS,30.00,BagIndustries,"The bright and saturated color not only attracts attention but also adds expressiveness to any image be it everyday or evening situation",img/bag_color.jpg
Bags,BagIndustries,Form,M,25.00,BagIndustries,"The unconventional silhouette creates a visual accent that is impossible to ignore setting your fashion standards to a new level",img/bag_form.jpg
Bags,BagIndustries,Materials,M,26.00,BagIndustries,"Known for her sculptural takes on traditional tailoring Australian arbiter of cool Kym Ellery teams up with Moda Operandi",img/bag_materials.jpg
Hoodies & Sweatshirts,HoodiesMag,Color,M,26.00,HoodiesMag,"The bright and saturated color not only attracts attention but also adds expressiveness to any image be it everyday or evening situation",img/sweet_color.jpg
Hoodies & Sweatshirts,HoodiesMag,Form,L,27.00,HoodiesMag,"The unconventional silhouette creates a visual accent that is impossible to ignore setting your fashion standards to a new level",img/sweet_form.jpg
Hoodies & Sweatshirts,HoodiesMag,Materials,L,27.00,HoodiesMag,"Variety and quality of materials from leading suppliers with a worldwide reputation",img/sweet_materials.jpg
Jackets & Coats,JacketsFabric,Color,M,26.00,Jackets,"The bright and saturated color not only attracts attention but also adds expressiveness to any image be it everyday or evening situation",img/jackets_color.jpg
Jackets & Coats,JacketsFabric,Form,L,27.00,Jackets,"The unconventional silhouette creates a visual accent that is impossible to ignore setting your fashion standards to a new level",img/jackets_form.jpg
Jackets & Coats,JacketsFabric,Materials,L,27.00,Jackets,"Variety and quality of materials from leading suppliers with a worldwide reputation",img/jackets_materials.jpg